app_id,model_name,dataset,instance_id,row_idx,calculation_mode,decision_boundary,n_selected_features,prob_correct,pred_time,reward,decision_noise,memory_recall_threshold,opportunity_cost
wine_quality,mlp,wine_quality/mlp,265,39,retrieve,1.0,6,0.5937491267789613,19.500028010743236,0.4199671298240576,0.33439404213160473,1.4085029096714878,0.008296500746859052
wine_quality,mlp,wine_quality/mlp,265,39,read,1.0,6,0.841913785799959,20.812801548339916,0.6572403622099277,0.33439404213160473,1.4085029096714878,0.008296500746859052
mushrooms,mlp,mushrooms/mlp,244,0,retrieve,1.0,6,0.8210539099472889,20.831523847411198,0.662269922569764,0.32960240628936344,-0.02746364174667315,0.007046243397876349
mushrooms,mlp,mushrooms/mlp,244,0,read,1.0,6,0.5111081268393579,22.703389175300824,0.3391345207534771,0.32960240628936344,-0.02746364174667315,0.007046243397876349
mushrooms,mlp,mushrooms/mlp,340,1,retrieve,1.0,6,0.8076677463201425,19.59373342442797,0.4520549523357768,0.419677986766933,-0.004561408202842787,0.01753687194478085
mushrooms,mlp,mushrooms/mlp,340,1,read,1.0,6,0.9990592109267166,15.12660038823871,0.721785956958302,0.419677986766933,-0.004561408202842787,0.01753687194478085
mushrooms,mlp,mushrooms/mlp,66,2,retrieve,1.0,6,0.6737359696587968,18.759157792758533,0.5876975217223264,0.4501183191892881,0.7401372110655324,0.003946789549638039
mushrooms,mlp,mushrooms/mlp,66,2,read,1.0,6,0.329006823809711,18.236859818939564,0.2450297760581065,0.4501183191892881,0.7401372110655324,0.003946789549638039
mushrooms,mlp,mushrooms/mlp,335,3,retrieve,1.0,6,0.4561397649114076,19.296763770244397,0.3044987228769119,0.4959832629845046,0.3585296556281352,0.007236500570620146
mushrooms,mlp,mushrooms/mlp,335,3,read,1.0,6,0.5209071091784149,17.562680355859484,0.3818147627616185,0.4959832629845046,0.3585296556281352,0.007236500570620146
mushrooms,mlp,mushrooms/mlp,93,4,retrieve,1.0,6,0.38637555703538984,19.07905040444094,0.1070722245206512,0.4194008498319991,1.0607440305043294,0.014010305903511827
mushrooms,mlp,mushrooms/mlp,93,4,read,1.0,6,0.015992358377061033,16.17181695678941,-0.22257974420315832,0.4194008498319991,1.0607440305043294,0.014010305903511827
mushrooms,mlp,mushrooms/mlp,13,5,retrieve,1.0,6,0.47498431858154966,20.139408637095947,0.2883602244294689,0.44175638822407104,1.1464792308523606,0.008670765725982165
mushrooms,mlp,mushrooms/mlp,13,5,read,1.0,6,0.9283834753486009,16.92710744764088,0.7696124922515789,0.44175638822407104,1.1464792308523606,0.008670765725982165
mushrooms,mlp,mushrooms/mlp,366,6,retrieve,1.0,6,0.5624999460103438,21.163790657454406,0.3078873301451549,0.3694194149675132,1.592254206881167,0.011463570954371295
mushrooms,mlp,mushrooms/mlp,366,6,read,1.0,6,0.9988196194587716,15.668985666613283,0.8071970904865234,0.3694194149675132,1.592254206881167,0.011463570954371295
mushrooms,mlp,mushrooms/mlp,342,7,retrieve,1.0,6,0.41446789723722177,19.82596661505725,0.2553819306188897,0.45580741783541956,1.4615253362583647,0.0074188547511536964
mushrooms,mlp,mushrooms/mlp,342,7,read,1.0,6,0.04142999481532261,16.310440786653867,-0.09157479630815546,0.45580741783541956,1.4615253362583647,0.0074188547511536964
mushrooms,mlp,mushrooms/mlp,138,8,retrieve,1.0,6,0.15039085649155193,20.012779090439782,0.013690368536447863,0.355349107020408,0.15619723184234746,0.006231043044625131
mushrooms,mlp,mushrooms/mlp,138,8,read,1.0,6,0.0030846761911481613,16.22419326698159,-0.11000897041973136,0.355349107020408,0.15619723184234746,0.006231043044625131
